PLAYER_NAME	PLAYER_IMG	TEAM	10/19	10/20	10/21	10/22	10/23	10/24	10/25	10/26	10/27	10/28	10/29	10/30	10/31	11/01	11/02	11/03	11/04	11/05	11/06	11/07	11/08	11/09	11/10	11/11	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06	04/07	04/08	04/09	04/10
LeBron James	https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png	LAL	34	34	34	59	59	78	78	78	78	78	104	104	119	119	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	149	172	172	182	182	182	221	251	251	284	284	284	284	284	307	307	307	307	337	337	357	390	390	420	420	420	444	444	462	462	493	493	527	527	563	602	602	602	634	671	671	714	714	740	740	771	771	771	803	803	838	838	838	872	872	872	897	897	922	922	952	952	981	981	1014	1014	1047	1047	1047	1047	1047	1047	1047	1047	1047	1047	1047	1076	1076	1076	1103	1133	1133	1133	1159	1159	1159	1159	1192	1192	1192	1213	1213	1245	1245	1271	1271	1297	1297	1353	1353	1353	1353	1376	1376	1426	1426	1457	1487	1487	1506	1506	1542	1580	1580	1618	1618	1618	1618	1618	1618	1657	1657	1657	1657	1657	1695	1695	1695	1695	1695	1695	1695	1695	1695
Kevin Durant	https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png	BKN	32	32	32	61	61	99	124	124	149	149	171	171	194	194	194	226	226	255	255	286	324	324	354	354	382	382	415	415	434	457	457	457	457	457	484	484	505	505	544	544	544	571	571	571	601	629	629	629	653	653	653	684	684	735	735	769	769	803	803	803	803	803	803	803	803	803	803	803	803	803	836	836	864	864	890	890	929	929	958	958	986	1014	1014	1041	1041	1041	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1053	1084	1084	1084	1121	1121	1135	1135	1160	1160	1160	1213	1213	1232	1255	1255	1293	1293	1293	1330	1330	1365	1365	1365	1388	1415	1415	1456	1456	1482	1482	1537	1537	1555	1587	1587	1623	1623	1643
Russell Westbrook	https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png	LAL	8	8	8	23	23	36	36	69	89	89	108	108	128	128	155	155	182	182	190	190	207	207	232	232	252	252	266	291	291	310	310	322	322	348	348	379	399	428	428	453	453	476	476	476	486	486	486	486	510	510	519	527	527	546	546	546	569	569	583	583	603	603	625	625	655	668	668	668	692	708	708	723	723	743	743	762	762	762	771	771	777	777	777	785	785	785	804	804	819	819	833	833	851	851	875	875	890	890	910	945	945	965	965	965	974	991	991	996	996	996	1006	1006	1006	1006	1025	1025	1025	1025	1042	1042	1042	1060	1060	1076	1076	1088	1088	1105	1105	1125	1125	1142	1142	1172	1172	1177	1177	1190	1204	1204	1219	1219	1241	1263	1263	1283	1283	1307	1307	1307	1307	1325	1325	1350	1350	1374	1386	1386	1413	1441	1441	1441	1441	1441	1441
James Harden	https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png	BKN	20	20	20	40	40	55	69	69	83	83	112	112	130	130	130	146	146	159	159	187	201	201	218	218	257	257	273	273	297	324	324	360	360	360	374	374	394	394	406	406	406	440	440	440	460	474	474	474	497	522	522	542	542	542	542	542	542	542	542	542	542	542	542	542	542	578	578	617	617	617	650	650	684	684	703	703	721	721	737	737	763	763	763	788	814	814	841	841	863	863	881	881	918	918	931	931	964	964	964	964	964	964	964	986	990	990	990	990	990	990	990	990	990	990	990	990	990	990	990	990	990	1017	1017	1046	1046	1046	1072	1072	1097	1097	1097	1113	1113	1113	1124	1124	1124	1150	1174	1174	1195	1195	1219	1219	1236	1236	1236	1260	1260	1289	1289	1303	1303	1335	1335	1353	1353	1365	1386	1397	1397	1410	1410	1432	1432
Stephen Curry	https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png	GSW	21	21	66	66	66	93	93	116	116	152	152	172	172	172	172	187	187	206	206	226	276	276	301	301	341	341	365	365	402	402	442	442	442	454	454	454	479	511	511	544	544	556	556	556	579	606	606	637	637	659	659	659	677	677	703	725	725	725	755	755	755	785	785	785	831	864	864	864	887	887	887	887	915	915	924	924	938	938	938	938	966	966	993	993	1005	1024	1024	1024	1024	1042	1042	1081	1103	1103	1116	1116	1134	1134	1163	1163	1182	1182	1222	1222	1222	1242	1242	1242	1242	1260	1260	1276	1311	1311	1335	1335	1368	1368	1393	1393	1411	1411	1411	1438	1438	1472	1472	1493	1493	1523	1523	1523	1538	1538	1572	1572	1580	1580	1627	1627	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630	1630
DeMar DeRozan	https://cdn.nba.com/headshots/nba/latest/1040x760/201942.png	CHI	0	17	17	43	64	64	90	90	90	110	110	142	142	179	179	216	216	216	241	241	269	269	286	286	304	304	339	377	377	399	399	425	425	456	474	474	491	514	542	542	570	570	570	604	604	633	633	633	633	633	633	633	633	633	633	633	633	633	633	633	671	697	697	697	697	697	721	756	756	776	776	804	832	832	861	861	861	861	876	876	896	896	916	935	935	952	975	975	999	999	1029	1029	1064	1064	1105	1105	1105	1134	1134	1166	1166	1189	1189	1218	1218	1246	1277	1277	1322	1360	1360	1396	1396	1431	1469	1469	1509	1509	1547	1547	1584	1584	1615	1615	1633	1633	1633	1655	1684	1684	1684	1707	1707	1743	1743	1743	1768	1768	1789	1789	1814	1814	1833	1833	1833	1859	1880	1880	1880	1880	1900	1900	1937	1969	1969	2019	2019	2045	2045	2085	2101	2101	2118	2118	2118
Patty Mills	https://cdn.nba.com/headshots/nba/latest/1040x760/201988.png	BKN	21	21	21	32	32	37	58	58	62	62	67	67	74	74	74	88	88	93	93	106	111	111	117	117	117	117	146	146	154	175	175	197	197	197	214	214	237	237	246	246	246	256	256	256	279	291	291	291	301	313	313	324	324	342	342	372	372	386	386	409	409	409	409	409	409	443	443	461	461	461	466	466	483	483	483	483	489	489	492	492	505	508	508	529	529	529	550	550	561	561	578	578	587	587	608	608	623	644	644	644	668	668	668	677	691	691	702	702	716	716	721	721	728	728	737	737	745	745	753	775	776	776	777	777	780	788	788	802	802	802	805	805	817	817	827	827	827	832	832	847	856	856	856	856	856	869	869	869	869	869	878	880	880	883	883	886	886	886	886	892	907	907	915	915	923
Paul George	https://cdn.nba.com/headshots/nba/latest/1040x760/202331.png	LAC	0	0	29	29	70	70	84	84	96	96	138	138	138	170	170	202	202	223	223	243	243	267	267	294	294	317	344	344	378	378	401	420	420	449	449	475	475	487	487	517	544	544	544	544	563	578	578	599	599	599	599	599	599	599	599	599	599	599	599	599	599	624	624	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	641	675	675	697	697	697	712	712	731	731	731	754	754
Jimmy Butler	https://cdn.nba.com/headshots/nba/latest/1040x760/202710.png	MIA	0	0	21	21	40	40	76	76	93	93	125	152	152	152	175	175	195	195	222	222	253	253	260	260	260	260	260	260	260	291	323	323	352	352	352	367	383	383	401	401	401	401	401	401	401	401	401	411	411	411	411	411	411	411	411	411	411	411	411	411	411	411	411	411	411	411	428	428	453	453	453	490	490	511	533	533	533	533	533	533	533	533	533	533	533	556	564	564	583	583	587	587	600	600	620	620	620	642	642	668	705	705	705	721	721	738	738	765	765	784	784	784	813	813	826	826	826	855	855	870	870	893	920	920	935	935	941	941	941	962	962	983	983	983	983	1007	1007	1007	1007	1015	1015	1015	1015	1015	1015	1042	1042	1062	1062	1092	1099	1099	1126	1126	1150	1150	1150	1172	1172	1199	1199	1199	1219	1219	1219
Anthony Davis	https://cdn.nba.com/headshots/nba/latest/1040x760/203076.png	LAL	33	33	33	55	55	77	77	112	142	142	157	157	173	173	200	200	229	229	231	231	263	263	287	287	309	309	343	363	363	381	381	412	412	442	442	462	462	485	485	509	509	534	534	534	561	561	561	561	578	578	600	600	600	600	600	600	620	620	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	629	637	637	668	668	668	695	695	695	725	755	755	783	783	783	805	822	822	822	838	838	838	838	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	855	878	878	906	927	927	927	927	927	927
