PLAYER_NAME	PLAYER_IMG	TEAM	10/19	10/20	10/21	10/22	10/23	10/24	10/25	10/26	10/27	10/28	10/29	10/30	10/31	11/01	11/02	11/03	11/04	11/05	11/06	11/07	11/08	11/09	11/10	11/11	11/12	11/13	11/14	11/15	11/16	11/17	11/18	11/19	11/20	11/21	11/22	11/23	11/24	11/26	11/27	11/28	11/29	11/30	12/01	12/02	12/03	12/04	12/05	12/06	12/07	12/08	12/09	12/10	12/11	12/12	12/13	12/14	12/15	12/16	12/17	12/18	12/19	12/20	12/21	12/22	12/23	12/25	12/26	12/27	12/28	12/29	12/30	12/31	01/01	01/02	01/03	01/04	01/05	01/06	01/07	01/08	01/09	01/10	01/11	01/12	01/13	01/14	01/15	01/16	01/17	01/18	01/19	01/20	01/21	01/22	01/23	01/24	01/25	01/26	01/27	01/28	01/29	01/30	01/31	02/01	02/02	02/03	02/04	02/05	02/06	02/07	02/08	02/09	02/10	02/11	02/12	02/13	02/14	02/15	02/16	02/17	02/24	02/25	02/26	02/27	02/28	03/01	03/02	03/03	03/04	03/05	03/06	03/07	03/08	03/09	03/10	03/11	03/12	03/13	03/14	03/15	03/16	03/17	03/18	03/19	03/20	03/21	03/22	03/23	03/24	03/25	03/26	03/27	03/28	03/29	03/30	03/31	04/01	04/02	04/03	04/05	04/06	04/07	04/08	04/09	04/10
LeBron James	https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png	LAL	11	11	11	20	20	29	29	29	29	29	39	39	45	45	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	56	56	59	59	59	71	84	84	93	93	93	93	93	101	101	101	101	106	106	112	118	118	125	125	125	134	134	140	140	147	147	152	152	159	168	168	168	173	187	187	197	197	206	206	216	216	216	222	222	226	226	226	238	238	238	246	246	254	254	261	261	268	268	276	276	284	284	284	284	284	284	284	284	284	284	284	291	291	291	298	305	305	305	315	315	315	315	323	323	323	331	331	335	335	342	342	351	351	362	362	362	362	371	371	380	380	391	398	398	406	406	413	423	423	427	427	427	427	427	427	440	440	440	440	440	448	448	448	448	448	448	448	448	448
Kevin Durant	https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png	BKN	7	7	7	13	13	19	21	21	25	25	28	28	29	29	29	35	35	41	41	47	55	55	57	57	60	60	66	66	72	75	75	75	75	75	79	79	83	83	90	90	90	95	95	95	96	102	102	102	106	106	106	110	110	120	120	128	128	131	131	131	131	131	131	131	131	131	131	131	131	131	139	139	145	145	153	153	159	159	162	162	167	174	174	178	178	178	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	187	187	187	196	196	199	199	205	205	205	218	218	218	223	223	226	226	226	233	233	240	240	240	242	253	253	259	259	265	265	275	275	278	288	288	294	294	300
James Harden	https://cdn.nba.com/headshots/nba/latest/1040x760/201935.png	BKN	8	8	8	15	15	23	31	31	39	39	45	45	52	52	52	63	63	68	68	78	85	85	89	89	99	99	107	107	113	119	119	132	132	132	134	134	143	143	149	149	149	157	157	157	162	167	167	167	173	185	185	190	190	190	190	190	190	190	190	190	190	190	190	190	190	198	198	207	207	207	212	212	223	223	230	230	234	234	237	237	242	242	242	250	261	261	266	266	270	270	275	275	283	283	287	287	294	294	294	294	294	294	294	302	307	307	307	307	307	307	307	307	307	307	307	307	307	307	307	307	307	314	314	321	321	321	327	327	331	331	331	336	336	336	343	343	343	354	358	358	364	364	372	372	376	376	376	382	382	391	391	396	396	406	406	415	415	421	428	435	435	439	439	448	448
Stephen Curry	https://cdn.nba.com/headshots/nba/latest/1040x760/201939.png	GSW	8	8	21	21	21	36	36	45	45	65	65	80	80	80	80	91	91	104	104	115	134	134	143	143	160	160	173	173	187	187	203	203	203	209	209	209	220	235	235	248	248	262	262	262	273	290	290	303	303	320	320	320	334	334	349	363	363	363	377	377	377	389	389	389	403	419	419	419	433	433	433	433	445	445	455	455	464	464	464	464	475	475	484	484	490	500	500	500	500	508	508	524	537	537	550	550	560	560	570	570	580	580	594	594	594	601	601	601	601	611	611	619	635	635	643	643	656	656	663	663	670	670	670	680	680	696	696	701	701	710	710	710	716	716	728	728	732	732	746	746	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750
Patty Mills	https://cdn.nba.com/headshots/nba/latest/1040x760/201988.png	BKN	7	7	7	10	10	16	25	25	31	31	33	33	35	35	35	42	42	46	46	52	57	57	62	62	65	65	77	77	82	94	94	102	102	102	111	111	121	121	128	128	128	138	138	138	147	152	152	152	160	169	169	175	175	185	185	199	199	207	207	221	221	221	221	221	221	234	234	247	247	247	255	255	264	264	269	269	275	275	281	281	293	296	296	304	304	304	311	311	319	319	326	326	331	331	341	341	350	358	358	358	370	370	370	378	386	386	393	393	405	405	408	408	412	412	421	421	428	428	437	444	449	449	452	452	458	463	463	468	468	468	469	469	476	476	480	480	480	489	489	496	505	505	509	509	509	518	518	521	521	521	532	535	535	536	536	538	538	543	543	551	558	558	563	563	568
Paul George	https://cdn.nba.com/headshots/nba/latest/1040x760/202331.png	LAC	0	0	11	11	23	23	31	31	39	39	48	48	48	56	56	64	64	71	71	81	81	88	88	97	97	102	112	112	121	121	130	144	144	152	152	158	158	167	167	174	184	184	184	184	191	198	198	201	201	201	201	201	201	201	201	201	201	201	201	201	201	210	210	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	217	226	226	235	235	235	242	242	248	248	248	257	257
Reggie Jackson	https://cdn.nba.com/headshots/nba/latest/1040x760/202704.png	LAC	0	0	9	9	17	17	32	32	40	40	48	48	48	55	55	64	64	72	72	83	83	88	88	96	96	104	115	115	132	132	140	143	143	151	151	159	159	169	169	172	181	181	185	185	192	200	200	210	210	218	218	218	226	226	230	230	234	234	234	242	242	246	246	246	246	246	246	246	246	246	246	254	263	263	268	268	268	276	276	282	286	286	292	292	298	298	304	304	311	311	322	322	324	324	332	332	334	337	337	340	340	344	355	355	355	362	362	362	367	367	372	372	374	374	379	379	386	394	394	400	400	402	402	408	408	413	413	421	421	421	429	429	434	443	443	451	451	458	458	458	466	466	468	468	468	468	472	472	472	475	475	475	475	486	486	495	495	495	504	504	508	508	508	512	512
Damian Lillard	https://cdn.nba.com/headshots/nba/latest/1040x760/203081.png	POR	0	9	9	9	16	16	24	24	35	35	42	42	56	65	65	77	77	83	97	97	97	110	114	114	123	123	123	129	129	138	138	138	151	151	151	159	171	178	178	178	182	182	182	182	182	182	182	182	182	182	182	182	182	196	196	212	223	223	234	234	243	243	254	254	254	254	254	262	262	276	276	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284	284
Harrison Barnes	https://cdn.nba.com/headshots/nba/latest/1040x760/203084.png	SAC	0	11	11	17	17	27	27	27	33	33	36	36	44	44	49	55	55	61	61	67	69	69	73	73	75	75	75	78	78	80	80	82	85	85	90	90	93	93	93	93	93	93	93	93	93	93	93	93	93	97	97	102	104	104	109	109	113	113	120	120	123	130	130	138	138	138	143	143	152	156	156	160	160	164	164	170	174	174	177	177	182	187	187	193	193	198	198	203	203	203	207	207	207	213	213	213	219	224	224	224	231	231	235	235	240	243	243	249	249	249	252	257	257	257	258	258	261	261	264	264	266	266	269	269	272	272	278	283	283	286	286	290	290	297	297	297	302	302	306	306	309	309	311	311	316	316	316	320	320	320	326	326	334	334	338	338	344	344	352	357	357	357	357	360	360
Evan Fournier	https://cdn.nba.com/headshots/nba/latest/1040x760/203095.png	NYK	0	13	13	22	22	29	29	35	35	43	43	51	51	58	58	63	63	69	69	76	80	80	83	83	86	86	86	90	90	94	94	94	104	107	107	116	116	123	129	129	129	137	137	147	147	155	155	155	161	164	164	171	171	178	178	182	182	188	188	198	198	198	209	209	220	226	226	226	233	233	233	238	238	248	248	251	251	265	265	265	265	272	272	276	276	276	284	284	289	299	299	305	305	305	313	319	319	324	324	336	336	336	343	343	355	355	355	365	365	373	383	383	396	396	406	406	419	419	431	431	431	441	441	452	452	452	457	457	464	464	469	479	479	485	485	492	492	500	500	500	509	509	520	520	530	530	539	549	549	559	559	569	577	577	585	585	585	590	593	593	600	600	610	610	619
